T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,Tw,S,Mw_inverse,Mn_inverse,LCB,SCB,VNL,VND
0.6928,0.9608,1.104,1.2047,1.2789,1.342,1.4042,1.4552,1.5038,1.5608,1.6357,1.7501,2.083,2.0608,2.0086,1.9623,1.9129,1.8708,1.827,1.7848,392.53,-0.0032,2.7986,4.815,0.2148,30.0626,0.017,0.1473
0.786,1.0581,1.2026,1.3067,1.3912,1.4639,1.5448,1.6389,1.7656,2.1078,2.0608,2.006,1.9571,1.9058,1.8587,1.8157,1.77,1.7322,1.6977,1.6617,394.96,-0.0067,2.9553,4.834,0.199,32.4636,0.0174,0.1543
0.8671,1.14,1.2928,1.3997,1.4933,1.5859,1.7248,2.1124,2.073,2.0241,1.9695,1.9163,1.8747,1.8305,1.7894,1.755,1.7162,1.686,1.6585,1.628,398.96,0.0035,3.0127,5.912,0.1855,33.4076,0.018,0.1562
0.9335,1.2032,1.3592,1.4807,1.5982,1.7487,2.1203,2.074,2.0071,1.9677,1.9168,1.8764,1.8355,1.7996,1.7666,1.7289,1.7042,1.6783,1.6563,1.637,404.62,-0.0008,2.9277,6.443,0.1748,35.2367,0.0183,0.1588
0.9935,1.2611,1.4312,1.5627,1.7139,2.1388,2.0821,2.0273,1.9765,1.9386,1.893,1.8563,1.8235,1.79,1.7648,1.7356,1.7151,1.695,1.6742,1.6582,412.2,0.0077,3.1592,7.134,0.1759,34.8562,0.0185,0.1613
0.8191,1.0972,1.255,1.3627,1.4644,1.5703,1.6829,1.9511,2.0934,2.0386,1.9929,1.9485,1.906,1.8621,1.8231,1.7842,1.7524,1.7181,1.6911,1.6597,400.71,0.004,2.8516,6.035,0.1874,34.1321,0.0179,0.1604
0.8659,1.136,1.2878,1.3976,1.4991,1.6002,1.7246,2.111,2.0701,2.0179,1.9672,1.917,1.8748,1.8337,1.789,1.7516,1.7184,1.6857,1.6524,1.6305,399.84,-0.0083,3.1923,6.022,0.1822,33.5181,0.0178,0.157
0.9034,1.1689,1.3216,1.4268,1.5192,1.624,1.7563,2.1224,2.0635,2.0003,1.9484,1.8949,1.8478,1.8047,1.7616,1.7204,1.6919,1.6558,1.6262,1.6031,400.38,0.0058,3.1852,6.23,0.184,32.5257,0.0179,0.1582
0.9381,1.1984,1.3425,1.4466,1.5351,1.6395,1.7867,2.1065,2.0439,1.9844,1.9257,1.877,1.825,1.7835,1.7368,1.701,1.667,1.6346,1.6045,1.5836,400.5,-0.0046,2.9748,5.683,0.1859,32.7346,0.0177,0.1551
0.8579,1.1225,1.2654,1.3723,1.4578,1.5348,1.6146,1.7114,1.8898,2.0712,2.0079,1.9582,1.9114,1.8706,1.8325,1.7876,1.7494,1.717,1.687,1.6573,400.55,0.0135,2.6396,5.258,0.1824,31.5257,0.017,0.1501
0.8596,1.1263,1.2788,1.3849,1.477,1.5603,1.6488,1.7793,2.097,2.0429,1.9949,1.9439,1.9012,1.8568,1.8131,1.7708,1.7338,1.7009,1.672,1.6443,400.67,0.0043,2.6139,6.27,0.1737,32.6119,0.0173,0.1515
0.8662,1.1376,1.2891,1.3978,1.4952,1.5897,1.7206,2.1081,2.0675,2.0169,1.9686,1.9184,1.8729,1.8275,1.785,1.7506,1.7135,1.6851,1.6554,1.6303,400.84,-0.0005,3.1008,5.618,0.1916,33.1838,0.0181,0.1568
0.8701,1.1426,1.2994,1.4202,1.5198,1.6397,1.8516,2.1121,2.0544,2.0071,1.9566,1.896,1.8512,1.8114,1.7733,1.7406,1.7023,1.6731,1.6435,1.618,399.48,0.0015,3.3806,6.791,0.1973,34.2922,0.0185,0.1616
0.8615,1.1355,1.2908,1.3984,1.498,1.5914,1.7223,2.1068,2.0713,2.0184,1.9707,1.9238,1.8696,1.8297,1.7869,1.7512,1.7169,1.6844,1.6572,1.6305,401.33,0.014,3.0571,5.799,0.1875,32.9567,0.018,0.1566
0.8635,1.1349,1.2903,1.4011,1.4994,1.5884,1.7269,2.1138,2.0656,2.0103,1.9631,1.9096,1.8617,1.814,1.7736,1.7377,1.7022,1.6681,1.6391,1.6143,400.13,0.1019,3.8493,9.399,0.1872,33.3684,0.0177,0.1566
0.8631,1.1389,1.2878,1.3963,1.4967,1.5901,1.7282,2.1023,2.0689,2.0133,1.9553,1.9033,1.8504,1.8024,1.7633,1.724,1.6881,1.6594,1.6249,1.6011,399.68,0.2058,4.3576,12.298,0.1838,32.9697,0.0178,0.1575
0.6233,0.8987,1.0475,1.1494,1.2347,1.2939,1.3455,1.4014,1.4526,1.4985,1.5514,1.6103,1.7025,1.8577,2.072,2.0291,1.9834,1.9406,1.9006,1.8606,391.78,-0.0178,2.486,4.509,0.2115,29.9441,0.0164,0.1477
0.924,1.1994,1.3654,1.4908,1.606,1.7541,2.1205,2.067,2.0198,1.9849,1.9394,1.9049,1.8746,1.8398,1.8084,1.7793,1.7543,1.7364,1.7118,1.697,409.61,-0.0049,2.9215,6.534,0.1747,33.6453,0.0185,0.1584
0.7272,0.9847,1.1209,1.2111,1.2791,1.3337,1.3743,1.4179,1.4555,1.4863,1.5177,1.5535,1.6044,1.658,1.7366,1.8833,2.0534,2.0079,1.9626,1.9234,391.96,0.0008,2.2553,2.405,0.2406,28.2359,0.0163,0.1391
1.0342,1.2968,1.4534,1.576,1.707,2.0039,2.0679,2.0102,1.9599,1.9111,1.8641,1.8254,1.7898,1.7552,1.7352,1.7081,1.683,1.6695,1.6544,1.6397,409.27,0.0073,2.9567,6.684,0.1573,33.1444,0.018,0.1588
0.654,0.9247,1.0781,1.1909,1.2764,1.351,1.4181,1.4816,1.5628,1.666,1.886,2.1011,2.0537,2.0083,1.9602,1.9154,1.8717,1.8273,1.787,1.7451,391.9,0.0017,3.2654,4.544,0.2167,32.2991,0.0177,0.1549
0.9324,1.2193,1.3871,1.533,1.6938,2.1536,2.1074,2.0555,2.0151,1.9714,1.9314,1.8961,1.8547,1.8291,1.8019,1.7777,1.751,1.7277,1.7108,1.6917,409.43,-0.0018,3.4768,6.671,0.1814,35.5421,0.0188,0.1684
0.7492,1.0071,1.145,1.2367,1.3135,1.3805,1.4406,1.4949,1.5567,1.63,1.7578,2.1154,2.0619,2.0092,1.9591,1.9052,1.8617,1.8146,1.7704,1.725,390.1,0.022,2.9497,3.441,0.2263,31.3197,0.0173,0.1531
1.0446,1.3179,1.4837,1.6291,1.8815,2.111,2.0514,1.9972,1.944,1.8899,1.8471,1.8119,1.7811,1.7503,1.7232,1.6984,1.6779,1.6609,1.6462,1.6342,409.93,0.0112,3.4094,6.192,0.1767,35.7739,0.0189,0.1695
0.6346,0.8964,1.0499,1.1521,1.2279,1.2938,1.348,1.4018,1.4493,1.4977,1.5547,1.614,1.6919,1.8368,2.0721,2.0228,1.9701,1.9219,1.8778,1.83,390.07,0.2043,3.7636,8.812,0.2109,29.6637,0.0164,0.1435
0.9237,1.2007,1.3637,1.4873,1.6107,1.7602,2.1141,2.0635,2.0164,1.9735,1.9348,1.8915,1.8605,1.8237,1.7924,1.7681,1.7414,1.7204,1.7001,1.6813,410.33,0.1984,4.0949,12.426,0.1592,33.2897,0.018,0.1578
0.7256,0.9826,1.1196,1.2154,1.2755,1.3277,1.371,1.4158,1.4444,1.4814,1.5173,1.5516,1.5951,1.6421,1.709,1.8149,2.034,2.008,1.9569,1.9036,388.36,0.2017,3.5822,7.906,0.2483,28.2636,0.0157,0.1365
1.0346,1.2953,1.4551,1.5747,1.7042,1.9957,2.0678,2.0077,1.9519,1.8905,1.8464,1.8039,1.7695,1.7372,1.7115,1.6885,1.6676,1.6492,1.636,1.626,410.17,0.1916,3.9369,12.529,0.1653,33.3221,0.0178,0.1588
0.6535,0.9237,1.078,1.1867,1.2722,1.3531,1.4213,1.4898,1.5643,1.6664,1.8781,2.0985,2.0426,1.9899,1.94,1.8935,1.8419,1.8001,1.7575,1.7111,388.75,0.2002,4.218,11.32,0.2152,32.824,0.0174,0.156
0.9337,1.2217,1.3907,1.5302,1.695,2.1542,2.1006,2.0539,2.006,1.9648,1.9198,1.8841,1.85,1.8163,1.7893,1.7593,1.7343,1.7141,1.6966,1.6811,408.69,0.1996,4.793,13.615,0.1799,35.3598,0.0189,0.1681
0.7498,1.0026,1.1476,1.2411,1.3187,1.3803,1.4391,1.4892,1.5466,1.6234,1.7424,2.1118,2.0584,1.9943,1.9353,1.8769,1.8221,1.7676,1.7173,1.6723,390.12,0.2032,4.1688,10.073,0.2354,31.5322,0.017,0.1502
1.0461,1.3197,1.481,1.6308,1.8772,2.1101,2.0391,1.982,1.9278,1.879,1.8381,1.7991,1.7617,1.7305,1.7031,1.6828,1.6615,1.6459,1.6309,1.621,410.19,0.1909,4.7087,13.121,0.1784,36.2474,0.0192,0.169
1.0416,1.3202,1.488,1.64,1.8861,2.1008,2.0441,2.0063,1.9595,1.9272,1.882,1.852,1.8178,1.7942,1.7691,1.7507,1.7311,1.7169,1.701,1.6877,415.35,0.018,3.3963,7.684,0.1598,35.3509,0.0185,0.163
1.0843,1.3682,1.5485,1.7253,2.1302,2.0851,2.0399,1.9933,1.9541,1.9188,1.8857,1.8556,1.8298,1.8061,1.7859,1.7702,1.7533,1.7436,1.7315,1.722,420.47,-0.0024,3.3544,8.095,0.1631,36.0931,0.019,0.169
1.1693,1.4558,1.6584,2.0532,2.1072,2.076,2.0238,1.9921,1.9576,1.9257,1.9031,1.8817,1.8605,1.8408,1.8311,1.8151,1.8084,1.8004,1.7872,1.7861,428.08,0.0022,3.3299,8.38,0.1557,36.7711,0.0192,0.1712
1.2379,1.5282,1.7789,2.1335,2.0985,2.0578,2.0286,1.9942,1.9669,1.9487,1.9289,1.9102,1.8959,1.888,1.8738,1.8693,1.8632,1.8547,1.8519,1.8454,440.95,0.0016,3.3826,9.746,0.1462,36.9387,0.0197,0.173
1.2954,1.6008,1.9782,2.1247,2.087,2.0617,2.0378,2.0133,1.9881,1.9709,1.9603,1.949,1.9353,1.9294,1.9203,1.9158,1.9139,1.9136,1.8999,1.8986,449.89,-0.0046,3.6206,10.256,0.1368,39.0035,0.02,0.1769
0.5205,0.8201,1.0036,1.1357,1.2327,1.3314,1.4292,1.5281,1.6506,1.8981,2.1192,2.0985,2.0706,2.0528,2.0277,2.0045,1.9803,1.9607,1.9394,1.9205,399.95,-0.015,3.3046,5.903,0.1839,33.7356,0.0182,0.1595
0.6264,0.9183,1.093,1.2163,1.3245,1.42,1.5171,1.6318,1.8383,2.1152,2.0855,2.0543,2.0246,1.9944,1.9692,1.936,1.9068,1.8849,1.8584,1.8343,400.53,-0.0094,3.2209,6.554,0.1793,33.5661,0.0179,0.1598
0.7044,0.9892,1.1553,1.2832,1.3852,1.4887,1.5853,1.7295,2.1327,2.0912,2.0546,2.0218,1.9811,1.9479,1.9114,1.8786,1.8486,1.821,1.7911,1.7643,402.21,-0.0007,3.1542,5.805,0.1819,33.9643,0.018,0.1592
0.7692,1.0485,1.214,1.3314,1.422,1.5256,1.6337,1.828,2.1068,2.0664,2.0214,1.978,1.936,1.9037,1.8647,1.8297,1.7956,1.7624,1.7354,1.7109,399.39,-0.0253,3.0869,5.631,0.1768,33.6917,0.0181,0.1569
0.9684,1.2216,1.364,1.4641,1.5506,1.6572,1.8122,2.1003,2.0409,1.9706,1.9186,1.8606,1.812,1.7652,1.7245,1.6836,1.6481,1.6178,1.5918,1.568,401.81,-0.0068,3.2811,6.117,0.1929,32.9399,0.0178,0.1567
0.9974,1.2396,1.3833,1.4825,1.5704,1.6564,1.8124,2.0888,2.0232,1.9635,1.9055,1.8478,1.7965,1.7505,1.7076,1.6684,1.638,1.6056,1.578,1.5554,398.88,-0.0211,2.8497,5.411,0.1954,32.8224,0.0179,0.1538
0.8396,1.1008,1.2394,1.3428,1.4097,1.4721,1.5216,1.5736,1.624,1.6826,1.7573,1.8675,2.0027,1.9769,1.9333,1.8847,1.8454,1.8045,1.7704,1.7368,400.09,-0.0009,2.0755,4.618,0.1684,28.2265,0.0158,0.1367
0.8466,1.1105,1.2534,1.3472,1.4256,1.501,1.5473,1.6107,1.6798,1.7855,1.9675,2.0142,1.9691,1.9253,1.8783,1.839,1.7998,1.7631,1.7252,1.6947,400.2,-0.0053,2.312,4.355,0.1684,28.9358,0.0164,0.1414
0.8503,1.108,1.2601,1.3617,1.4384,1.5061,1.5834,1.6585,1.7639,1.9897,2.0391,1.9896,1.9372,1.8952,1.8472,1.8096,1.772,1.7377,1.6992,1.674,401.78,0.005,2.4576,3.876,0.1693,30.6256,0.0166,0.1457
0.8807,1.1523,1.3165,1.4345,1.549,1.6963,2.1544,2.0969,2.0444,1.9834,1.9343,1.8898,1.8387,1.7988,1.7626,1.7247,1.6921,1.6627,1.6385,1.608,399.53,-0.0102,3.4957,7.081,0.1983,35.2911,0.019,0.1663
0.8802,1.1631,1.3222,1.4534,1.5821,1.7665,2.1437,2.0793,2.0267,1.9734,1.9272,1.8787,1.8334,1.794,1.754,1.7154,1.6855,1.6559,1.6244,1.603,397.87,-0.0045,3.8419,7.287,0.2066,36.1782,0.019,0.1658
0.895,1.1734,1.3405,1.4856,1.6411,2.1835,2.1186,2.0588,2.0043,1.9517,1.9102,1.8597,1.8209,1.7783,1.7376,1.707,1.6702,1.6451,1.6161,1.593,401.53,-0.0225,4.3915,8.216,0.2159,37.9627,0.0196,0.1732
0.8623,1.1358,1.2905,1.4008,1.5012,1.5999,1.723,2.1108,2.0651,2.0124,1.9466,1.8919,1.8403,1.7951,1.7488,1.7103,1.6743,1.6413,1.6091,1.5849,400.2,0.38,5.4735,17.471,0.19,33.139,0.0178,0.1589
0.8638,1.1398,1.2921,1.4028,1.4964,1.5945,1.7211,2.1,2.0603,2.003,1.9411,1.8899,1.8358,1.7882,1.7444,1.7011,1.6688,1.634,1.6032,1.5802,401.72,0.5017,5.8669,19.241,0.1889,33.4284,0.0179,0.1552
0.8628,1.1354,1.2927,1.4008,1.4983,1.6011,1.7181,2.1034,2.0644,2.0014,1.9413,1.8857,1.8334,1.7831,1.7403,1.7011,1.6639,1.6323,1.6034,1.5769,400.22,0.5991,6.485,22.797,0.1873,33.1871,0.0179,0.1578
0.8622,1.1355,1.2907,1.3959,1.4976,1.5966,1.7185,2.0985,2.0678,2.0008,1.9375,1.882,1.8256,1.7781,1.7339,1.6935,1.6568,1.6238,1.5972,1.5736,400.04,0.7875,7.5814,28.051,0.1851,33.4211,0.0181,0.1592
0.8645,1.1369,1.2938,1.3982,1.4959,1.5931,1.7257,2.0956,2.0587,1.9959,1.9358,1.8749,1.8252,1.7719,1.7278,1.689,1.6521,1.619,1.593,1.5644,399.14,1.0134,9.0036,34.733,0.1887,33.1985,0.0177,0.1572
0.8628,1.1357,1.2864,1.3989,1.5007,1.5977,1.7203,2.1024,2.0598,1.9949,1.935,1.8747,1.8217,1.7715,1.7259,1.6846,1.6492,1.615,1.5875,1.5652,401.94,1.1874,10.185,39.669,0.1935,32.6445,0.0179,0.1555
0.8648,1.1365,1.287,1.398,1.4964,1.5946,1.7273,2.0938,2.0594,1.9916,1.9325,1.8685,1.8182,1.7673,1.7196,1.6791,1.6405,1.6108,1.5826,1.5588,397.97,1.508,11.69,47.991,0.191,33.0289,0.0179,0.1547